Question,A,B,C,D,Answer
42. Hãy sắp xếp các chất sau đây theo trật tự tăng dần tính base : (1) amoniac; (2) anilin; (3) ethylamin; (4) điethylamin; (5) Kali hiđroxyd.,(2) < (1) < (3) < (4) < (5) .,(1) < (5) < (2) < (3) < (4).,(1) < (2) < (4) < (3) < (5).,(2) < (5) < (4) < (3) < (1).,
"43. Đốt cháy hoàn toàn 7,4 gam một amin thu được 6,72 lít khí CO 2 (đkc) và 9 gam H 2O. CTPT của amin là:",C 2H5N.,C 3H9N.,C 3H10N2.,C 3H8N,
"2. 44. Đốt cháy hoàn toàn hỗn hợp hai amin no, đơn chức, mạch hở là đồng đẳng liên tiếp thu được 2,24 lít khí CO 2 ( ở đktc) và 3,6 gam H 2O. CTPT của hai amin là:",CH 3NH 2 và C 2H5NH 2.,C 2H5NH 2 và C 3H7NH 2.,C 3H7NH 2 và C 4H9NH 2.,C 4H9NH 2 và C 5H11NH 2,
"45. Trong các hợp chất sau, hợp chất nào không lưỡng tính?",Amino acetat.,Lizin.,Phenol.,Alanin. 46.Cho sơ đồ phản ứng : 33CH -I CH -I 32CH NH X Y⎯⎯⎯ → ⎯⎯⎯ → . Tên gọi gốc – chức của Y : A. trimethylamin. B. ethylmethylamin. C. propylamin. D. methylamoni iodid.,
47. Cho 4 dung dịch sau: glixerol; andehyde acetic và alcol ethylic. Thuốc thử nào sau đây có thể nhận biết cả 3 dung dịch?,dung dịch Br 2/CCl 4.,dung dịch AgNO 3/NH 3.,Cu(OH) 2/NaOH.,dung dịch thuốc tím.,
48. Cho phản ứng: . Sản phẩm của phản ứng là:,methylethyl ceton và acealdehyd. C. ethylmethyl ceton và acetaldehyd.,ethylmethyl ceton và acid acetic. D. dimethyl ceton và acealdehyd. 49. Acid benzoic tác dụng với Br 2 (bột P xúc tác) thu được sản phẩm: A. .,. B. .,.,
50. Methylvinyl ether là tên gọi gốc – chức của chất nào sau đây ?,CH 3−O−CH 3.,CH 2=CH−O−CH 3.,CH≡C −O−CH 3.,CH 3−CH(CH 3)−O−CH,
3. 51. Khung hợp chất hữu cơ là cấu trúc cơ bản của hợp chất thiên nhiên:,steroid.,alkaloid.,terpenoid.,flavonoid.,
52. Paracetamol ( acetaminophen ) được tổng hợp từ hoạt chất p -aminophenol và anhydric acetic trong môi trường kiềm. CTPT của paracetamol là :,C8H9NO 2.,C 9H8N O2.,C 9H8NO 3.,C 8H10NO,
2. 53. Cặp alcol và amin nào sau đây có cùng bậc:,C2H5OH và CH 3- NH- CH 3,CH 3-OH và (CH 3)3N,(CH 3)3C-OH và (CH 3)3 – C – NH – CH 3,CH 3OH và CH 3NH,
2. 54. Đun nóng hỗn hợp gồm 2 alcol: A -OH; B -OH với H 2SO 4 đặc ở 140oC thì thu được tối đa mấy ether ?,3,4.,5.,,
6. E. 7 55. Phản ứng nào sau đây chứng tỏ phenol có tính acid yếu?,C6H5-ONa + CO 2 + H 2O,C6H5-OH + NaOH,C6H5-ONa+ Br 2,C6H5OH + Na.,
"56. Cho 4,6 gam một alcol no, đơn chức, mạch hở tác dụng hết với Na, thu được 1,12 lít khí (đktc). Tìm CTPT alcol ? (Na = 23; C = 12; H = 1; O = 16).",C3H5(OH) 3,C2H5OH,C3H7OH,C2H4(OH) 2,
"57. Cho 18,8 gam phenol tác dụng với 45 gam dung dịch HNO 3 63% (H 2SO 4 đặc làm xúc tác; hiệu suất phản ứng là 100%). Hỏi khối lượng của acid picric (2,4,6 - trinitrophenol) thu được bao nhiêu ?",50 gam,"34,35gam",35 gam,"45,85 gam. E. 38,75 gam.",
"58. Sản phẩm chính của phản ứng: CH 3–CH=CH 2 + HOH (to,xt) →",CH 2=CH 2–CH 2–OH,CH 2=CH –CH=CH 2,CH 3–CH(OH) –CH 3,CH 3– CH 2–CH 2 – OH,
"59. Đốt cháy hoàn toàn 5,24 gam hỗn hợp 2 alkyn đồng đẳng kế tiếp nhau thu được 17,16 gam khí CO 2. Tìm CTPT hai alkyn ? (C =12; H =1)",C2H2 và C 3H4,C3H4 và C 4H8.,C4H6 và C 5H8,C3H4 và C 4H6,
60. Đọc tên hợp chất hữu cơ sau:,bicyclo[5.4]nonan.,spiro[5.3]octan.,spiro[2.5]octan.,spiro[5.2]octan .,
"61. Fomalin hay fomon được dùng để ngâm xác động vật, thuộc da, tẩy uế, diệt trùng,... Fomalin là:",Dung dịch rất loãng của aldehyd fomic.,dd aldehyd acetic khoảng 40%,Dung dịch 37 – 40% fomandehyd trong nước,Tên gọi của H – CH = O,
62. Dãy gồm các chất đều làm giấy quỳ tím ẩm chuyển sang màu xanh là:,"anilin, methyl amin, amoniac.","amoni clorid, methyl amin, natri hiđroxid.","methyl amin, amoniac, natri axetat.","Alcol methylic, amoniac, natri axetat.",
"67. Cho dãy các chất: glucose, xenlulose, saccarose, tinh bột, mantose. Số chất trong dãy tham gia phản ứng tráng gương l à:",3.,4.,2.,,
5. 68. Trong điều kiện thích hợp glucose lên men tạo thành khí CO 2 và:,C 2H5OH.,CH 3COOH.,HCOOH.,CH 3CHO.,
69. Số nhóm amino và số nhóm carboxyl trong một phân tử acid glutamic tương ứng:,1 và 1.,2 và 2.,2 và 1.,1 và,
"2. 70. Cho 14,55 gam muối H 2NCH 2COONa tác dụng hoàn toàn với dung dịch HCl dư thu được dung dịch X. Cô cạn toà n bộ dung dịch X thu được bao nhiêu gam muối khan?","16,73 gam","25,50 gam","8,78 gam","20,03 gam",
71. Khi xà phòng hóa tripanmitin ta thu được sản phẩm là,C15H31COONa và ethanol.,C17H35COOH và glycerol.,C15H31COONa và glycerol.,C17H35COONa và glycerol.,
72. Khi xà phòng hóa tristearin ta thu được sản phẩm là:,C 17H35COOH và glycerol,C 17H35COONa và glycerol,C 15H31COONa và glycerol,C 15H31COONa và et hanol,
73. Khi xà phòng hóa triolein ta thu được sản phẩm là,C15H31COONa và ethanol.,C17H35COOH và glycerol.,C15H31COONa và glycerol.,C17H33COONa và glycerol.,
74. Khi thuỷ phân tristearin trong môi trường acid ta thu được sản phẩm là,C15H31COONa và etanol.,C17H35COOH và glycerol.,C15H31COOH và glycerol.,C17H35COONa và glycerol.,
75. Acid sulfanilic được tổng hợp từ:,anilin và acid nitrơ. C. anilin và acid sulfuric.,"anilin và brom. D. anilin và acid acetic. 76. Sơ đồ chuyển hóa: + 42 + KMnO ,H O + HAcetylen X Y⎯⎯⎯⎯⎯ → ⎯⎯⎯ → . Tên gọi của Y : A. Acid oxalic.",Kali oxalat. B. Benzoic.,Etylen glycol.,
77. Công thức cấu tạo dạng mạch hở của fructose là,.,.,.,. E.,
78. Các chất trong nhóm chất nào dưới đây đều là dẫn xuất của hiđrocacbon ?,"CH 2Cl2, CH 2Br-CH 2Br, NaCl, CH 3Br, CH 3CH 2Br.","CH 2Cl2, CH 2Br-CH 2Br, CH 3Br, CH 2=CHCOOH, CH 3CH 2OH.","CH 2Br-CH 2Br, CH 2=CHBr, CH 3Br, CH 3CH 3.","HgCl 2, CH 2Br-CH 2Br, CH 2=CHBr, CH 3CH 2Br. 79.Trong những dãy chất sau đây, dãy nào có các chất là đồng phân của nhau ? A. C 2H5OH, CH 3OCH",
"3. B. CH 3OCH 3, CH 3CHO. C. CH 3CH 2CH 2OH, C 2H5OH. D. C 4H10, C6H6. 80. CH 2=CHC≡CH (1); CH 2=CHCl (2); CH 3CH=C(CH 3)2 (3); CH 3CH=CHCH=CH 2 (4) ; CH 2=CHCH=CH 2 (5); CH 3CH=CHBr (6). Chất c ó đồng phân h ình học:","2, 4, 5, 6.","4, 6.","2, 4, 6.","1, 3 ,",
4. 81. Hợp chất (CH 3)2C=CHC(CH 3)2CH=CHBr có danh pháp IUPAC là :,"1-brom -3,5-trimetylhexa -1,4-đien.","3,3,5 -trimetylhexa -1,4-đien-1-brom.","2,4,4 -trimetylhexa -2,5-đien-6-brom.","1-brom -3,3,5 -trimetylhexa -1,4-đien.",
82. Hợp chất (CH 3)2C=CH -C(CH 3)3 có danh pháp IUPAC là:,"2,2,4 - trimetylpent -3-en.","2,4 -trimetylpent -2-en.","2,4,4 -trimetylpent -2-en.","2,4 -trimetylpent -3-en.",
83. Hợp chất CH 2=CHC(CH 3)2CH 2CH(OH)CH 3 có danh pháp IUPAC là:,"1,3,3 -trimetylpent -4-en-1-ol.","3,3,5 -trimetylpen t-1-en-5-ol.","4,4 -đimetylhex -5-en-2-ol.","3,3 -đimetylhex -1-en-5-ol.",
"84. Vitamin A công th ức phân t ử C20H30O, tìm độ không no của vitamin :",7.,6.,5.,,
4. 85.Sản phẩm của phản ứng 22PCC 22 CH ClCH =CH-CH -OH ⎯⎯⎯→,CH 3−CH 2−CH 2−OH. C. CH 3−CH 2−COOH.,"CH 3−CH 2−CH=O. D. CH 2=CH−CH=O. E. CH 2=CH−COOH. 86. Cho sơ đồ phản ứng : 3 2 oNH O ,men giam 25 220 CC H OH X Y⎯⎯⎯⎯⎯ → ⎯⎯⎯ → . Tên gọi gốc -chức của Y là: A.glyxin. B. amonium aceat.",acid acetic.,acetamid.,
"87. Cho 3 dd sau: phenol, stiren và benzen. Thuốc thử có thể nhận biết cả 3 dd",dung dịch AgNO 3/NH 3. C. Cu(OH) 2/NaOH.,dung dịch Br 2/CCl 4. D. dung dịch thuốc tím. 88.Toluen tác dụng với Br 2 (bột Fe xúc tác) thu được sản phẩm chính A. . B. .,.,.,
89. Benzyl clorid là tên gọi gốc – chức của chất nào sau đây ?,C6H5−Cl. C. C 6H5−CH 2−Cl.,"p-CH 3−C6H5−Cl. D. m -CH 3−C6H5−Cl. E. C 6H5−NH 2. . 90. Licopen, công th ức phân t ử C40H56 là chất màu đỏ trong qu ả cà chua, ch ỉ chứa liên k ết đôi v à liên k ết đơn trong phân t ử. Hiđro h óa hoàn toàn licopen đư ợc hiđrocacbon C 40H82. Vậy licopen c ó độ không no: A. 12 B. 13.",14.,15 91.Độ không no C 5H9O2Cl là: A.,
0. B. 1. C. 2. D. 3. 92. Acid stearic có công thức nào sau đây:,C15H31COOH,C 17H31COOH,C 17H35COOH,C17H33COOH 93.Số mắc xích isoprene trong hợp chất hữu cơ sau là: A.,
"1. B. 2. C. 3. D. 4 1 2 3 456 78 9 10OH 94. Hợp chất hữu cơ sau là Quercetin . Nó có mặt trong trái cây, rau, lá và ngũ cốc. Quercetin có thể được sử dụng như một thành phần trong chất bổ sung, đồ uống, thực phẩm, vì có khả năng kháng virus, chống cúm. Khung cơ bản của quercetin là :",Steroid:,flavonoid:,quinolin,isoquinolin,
95. Hợp chất hữu cơ: .Có tên thay thế là:,"N-methylpropanamin C. N,N -methylpropanamin","N-methylpropylmin D. N -ethylpropanamin 96. Cho este có CTCT C 6H5-COO -CH=CH 2, tên gọi của este đó là: A. Phenylvinylat B. vinyl benzoate",et hyl vinylat,viny phenyloat,
"97. Cho các chất sau: H 2NCH 2COOH (X), CH 3COOH 3NCH 3 (Y), C 2H5NH 2 (Z), H2NCH 2COOC 2H5 (T). Dãy các chất đều tác dụng được với dd NaOH và dd HCl là:","X, Y, Z, T.","X, Y, T.","X, Y, Z.","Y, Z, T.",
"98. Hiện tượng các chất có cấu tạo và tính chất hoá học tương tự nhau, chúng chỉ hơn kém nhau một hay nhiều nhóm metylen ( -CH 2-) được gọi là hiện tượng",đồng phân.,đồng vị.,đồng đẳng.,đồng khối.,
99. Độ không no ứng với công thức C 5H9O2Cl là:,0.,1.,2.,,
"3. 100. Amin X tác dụng với hỗn hợp dung dịch NaNO 2 và HCl, tạo khí N 2 không màu và có mùi thơm rượu. CTCT của X là ?",Metylamin.,Anilin.,Etylamin.,Đimetylamin.,
101. Cho các alcol sau: CH 3OH; C 2H5OH; HOCH 2-CH 2OH; HOCH 2-CH 2- CH 2OH; CH 3-CH(OH) -CH 2OH. Số alcol cho ở trên phản ứng được với Cu(OH) 2 ở nhiệt độ thường là ?,3.,5.,2.,,
4. 102. Đun nóng butan -2-ol với H 2SO 4 đặc ở 1700C sản phẩm chính thu được là ? + HCl + NaOH +H 2SO 4 đặc; 1700,But -2-en.,Đibutylete.,Đietylete.,But -1-en.,
103. Cho sơ đồ chuyển hóa: But-1-en A B E Tên của hợp chất E là ?,Propen.,Đibutylete.,But -2-en.,Isobutilen.,
"104. Dãy các chất nào sau đây theo thứ tự tính acid tăng dần: ethanol, acid acetic, phenol ?",Et hanol < phenol < acid ace tic,acid acetic < ethanol < phenol,Phenol < ethanol < acid acetic,Acid acetic < ethanol < phenol,
"105. Từ phenol có thể điều chế Aspirin; hay acid acetylsalicylic là một dẫn xuất của acid salicylic, thuộc nhóm thuốc chống viêm không steroid; có tác dụng giảm đau, hạ sốt, chống viêm; nó còn có tác dụng chống kết tập tiểu cầu, khi dùng liều thấp kéo dài có thể phòng ngừa đau tim và hình thành cục nghẽn trong mạch máu. Công thức phân tử của Aspirin là ?",C 8H8O4.,C 9H9O4.,C 8H10O4.,C 9H8O,
"4. 106. Acid Picric (2,4,6 -trinitrophenol) có dạng tinh thể màu vàng và là một trong những hợp chất có tính acid mạnh nhất của phenol. Như các hợp chất chứa nhiều nitrat khác (TNT), axit picric là một chất nổ. CTPT của acid picric là ?",C 6H3N3O7.,C 6H5OH.,C 9H8O4.,C 8H9NO,
"2. 107. Acid benzoic được sử dụng như một chất bảo quản thực phẩm (Thường được kí hiệu là E -210) cho xúc xích, nước sốt cà chua, mù tạt, bơ thực vật … Nó ức chế sự phát triển của nấm mốc, nấm men và một số vi khuẩn. CTPT của acid benzoic là ?",CH 3COOH.,HCOOH.,C 6H5COOH.,(COOH),
2. 108. Cho sơ đồ phản ứng: C 2H2 → X → CH 3COOH. Mỗi phản ứng giả thiết có đầy đủ chất xúc tác; nhiệt độ thích hợp. CTCT của X là ?,CH 3COONa.,HCOOCH 3.,CH 3CHO.,C 2H5OH.,
109. Có các chất sau: C 2H5NH 2 (1); NH 3 (2); CH 3NH 2 (3); C 6H5NH 2 (4); NaOH + HNO 3 Fe + HCl + NaOH + CO 2 + H 2O (5) và (C 6H5)2NH (6). Dãy các chất được sắp xếp theo chiều tăng dần tính bazơ là ?,(6) < (4) < (2) < (3) < (1) < (5).,(5) < (1) < (3) < (2) < (4) < (6).,(4) < (6) < (2) < (3) < (1) < (5).,(1) < (5) < (2) < (3) < (4) < (6).,
"110. Cá có mùi tanh là do trong cá có chứa một chất có gốc amin (NH) có mùi vị tanh, điển hình là trimelylamin là chất có mùi tanh nổi trội nhất. Người ta cũng đã định lượng được trong 100g cá nước ngọt có từ 66 -116 mg trimetylamin, còn trong 100g cá biển có từ 250 -470mg chất đó (có lẽ vì thế nên chúng ta thường cảm thấy cá biển tanh hơn cá nước ngọt). CTCT của trimetylamin là ?",(CH 3)3C-NH 2.,CH 3NHCH 3.,(CH 3)2CH-NH-CH 3.,(CH 3)3N.,
111. Cho sơ đồ chuyển hóa: X C6H5ONa X Tên của hợp chất X là ?,Ancol benzylic.,Anilin.,Axit benzoic.,Phenol.,
112. Cho sơ đồ chuyển hóa: Benzen X Y . CTCT của hợp chất Y là ?,C 6H5-OH.,C 6H5-CH 3.,C 6H5-Cl.,C 6H5-NH,
2. 1 113. Cho sơ đồ phản ứng sau: HC≡C -CH 3 + AgNO 3/NH 3 → X + NH 4NO 3 Công thức cấu tạo (CTCT) của hợp chất X là ?,AgC≡CAg.,AgC≡C -CH 3.,Ag2O.,AgC≡CH.,
114. Hợp chất X có CTCT: CH 3CH(C 2H5)CH(OH)CH 3. Tên gọi của X là ?,4-etylpentan -2-ol.,2-etylbutan -3-ol.,3-etylhexan -5-ol.,3-metylpentan -2-ol.,
115. Hiđrat hóa 2 -metylbut -2-en thu được sản phẩm chính là ?,2-metylbutan -2-ol.,3-metylbutan -1-ol.,3-metylbutan -2-ol.,2-metylbutan -1-ol.,
116. Cho các chất sau: C 6H5OH; C 6H5CH=CH 2; C6H5CH 2OH. Thuốc thử duy nhất có thể phân biệt được ba chất lỏng đựng trong ba lọ mất nhãn là ?,Na.,Br 2.,NaOH.,Quỳ tím.,
117. Dãy gồm các chất điều chế trực tiếp ra anđehit axetic bằng một phương trình phản ứng là ?,C 2H5OH; C 2H4; C2H2.,CH 3COOH; C 2H4; C2H2.,C 2H5OH; HCOOCH 3; C2H2.,HCOOC 2H3; C2H2; CH 3Cl.,
"118. Hiđro hóa chất hữu cơ X, thu được (CH 3)2CHCH(OH)CH 3. Tên thay thế chất X là ?",Metylisopropylxeton.,2-metylbutan -3-on.,3-metylbutan -2-ol.,3-metylbutan -2-on.,
119. Phản ứng nào chứng minh tính axit của axit axetic mạnh hơn phenol ?,Dung dịch NaOH.,Kim loại Na.,Dung dịch NaHCO 3.,Dung dịch Br,
2. 120. Phân biệt các chất riêng biệt sau: phenol; axit axetic và axit acrylic bằng dung dịch nào sau đây ?,Na 2CO 3.,AgNO 3/NH 3.,Br 2.,NaOH.,
121. Dung dịch axit axetic phản ứng được với tất cả các chất trong dãy sau đây ?,Na; CuO; HCl.,NaOH; Cu; NaCl. 2,Na; CuO; NaCl.,NaOH; CaCO 3; Na.,
122. Axit cacboxylic no; đơn chức; mạch hở C 4H8O2 có bao nhiêu đồng phân ?,5.,3.,4.,,
2. 123. Etilen glicol làm chất chống đông cho nước dùng trong két nước làm mát động cơ ô tô và để sản xuất tơ polieste. CTCT của etilen glicol là ?,C 2H4(OH) 2.,C 2H4.,C 3H5(OH) 3.,C 2H5OH.,
"124. Tính chống kích nổ được đặc trưng bằng chỉ số octan. Về trị số nó được biểu thị bằng số phần trăm thể tích isooctan (2,2,4 -trimetylpentan) trong hỗn hợp với n - heptan. Thực tế, isooctan chống kích nổ tốt nhất, được quy ước là 100. CTPT của isooctan là ?",CH 3CH 2CH 2CH 2CH 2CH 2CH 2CH 3.,(CH 3)3CCH 2CH(CH 3)CH 3.,CH 3CH 2CH 2CH 2CH 3.,CH 3CH(CH 3)CH 2CH(CH 3)CH,
3. 125. Axit citric hay axit xitric [HOOC -CH 2-C(COOH)(OH) -CH 2-COOH] là một axit hữu cơ yếu. Độ không no trong phân tử axit xitric là ?,3.,0.,2.,,
1. 126. Hai đồng phân C 2H5OH và CH 3OCH 3 có cùng CTPT C 2H6O thuộc loại đồng phân nào sau đây ?,Đồng phân mạch cacbon.,Đồng phân hình học.,Đồng phân vị trí nhóm chức.,Đồng phân nhóm chức.,
127. Hợp chất sau đây: CH 3CH(CH 3)CH=C(CH 3)CH 2CH 3 có tên gọi là ?,"2,4 -đimetylhex -3-en.",2-metylhex -3-en.,3-metylhex -3-en.,"3,5 -đimetylhex -3-en.",
128. Cho các chất sau: acid axetic; glycerol; et hanol; acetanđehit. Thuốc thử nhận biết các chất trên là ?,Quỳ tím.,NaOH.,Cu(OH) 2/OH-.,HCl.,
129. Cả phenol (C 6H5OH) và anilin (C 6H5NH 2) đều phản ứng được với chất ?,Br 2.,NaOH.,HCl.,Na.,
